slug,name,url
name-search,Name Search,https://lawyers.findlaw.com/name-search/
legal-issues,Browse Legal Issues,https://lawyers.findlaw.com/legal-issues/
profile,Browse Law Firms,https://lawyers.findlaw.com/profile/lawfirm/a/1.html
lawyer,Support,https://lawyers.findlaw.com/lawyer/help/
aviation-mass-transit-accidents,"Airplane, Bus and Helicopter Accidents",https://lawyers.findlaw.com/aviation-mass-transit-accidents/
animal-bites-plaintiff,Animal and Dog Bites,https://lawyers.findlaw.com/animal-bites-plaintiff/
asbestos-mesothelioma,Asbestos Mesothelioma,https://lawyers.findlaw.com/asbestos-mesothelioma/
assault-battery-plaintiff,Assault and Battery (Plaintiff),https://lawyers.findlaw.com/assault-battery-plaintiff/
birth-injury,Birth Injury,https://lawyers.findlaw.com/birth-injury/
brain-injury,Brain Injury,https://lawyers.findlaw.com/brain-injury/
motor-vehicle-accidents-plaintiff,Car Accidents,https://lawyers.findlaw.com/motor-vehicle-accidents-plaintiff/
construction-accident,Construction Accident,https://lawyers.findlaw.com/construction-accident/
products-liability-law,Dangerous Products,https://lawyers.findlaw.com/products-liability-law/
defamation,Defamation,https://lawyers.findlaw.com/defamation/
drugs-medical-devices,Drugs and Medical Devices,https://lawyers.findlaw.com/drugs-medical-devices/
medical-malpractice,Medical Malpractice,https://lawyers.findlaw.com/medical-malpractice/
motor-vehicle-defects,Motor Vehicle Defects,https://lawyers.findlaw.com/motor-vehicle-defects/
personal-injury-plaintiff,Personal Injury,https://lawyers.findlaw.com/personal-injury-plaintiff/
personal-injury-defense,Personal Injury Defense,https://lawyers.findlaw.com/personal-injury-defense/
premises-liability-plaintiff,Premises Liability,https://lawyers.findlaw.com/premises-liability-plaintiff/
railroad-worker-injury-fela,Railroad Worker Injury and FELA,https://lawyers.findlaw.com/railroad-worker-injury-fela/
sexual-abuse-plaintiff,Sexual Abuse,https://lawyers.findlaw.com/sexual-abuse-plaintiff/
toxic-mold,Toxic Mold,https://lawyers.findlaw.com/toxic-mold/
toxic-torts,Toxic Torts,https://lawyers.findlaw.com/toxic-torts/
truck-accident,Truck Accident,https://lawyers.findlaw.com/truck-accident/
workers-compensation-law,Workers' Compensation,https://lawyers.findlaw.com/workers-compensation-law/
wrongful-death-plaintiff,Wrongful Death,https://lawyers.findlaw.com/wrongful-death-plaintiff/
bankruptcy-law,Bankruptcy,https://lawyers.findlaw.com/bankruptcy-law/
collections,Collections,https://lawyers.findlaw.com/collections/
credit-repair,Credit Repair,https://lawyers.findlaw.com/credit-repair/
debtor-creditor,Debtor and Creditor,https://lawyers.findlaw.com/debtor-creditor/
administrative-law,Administrative Law,https://lawyers.findlaw.com/administrative-law/
admiralty-maritime-law,Admiralty and Maritime,https://lawyers.findlaw.com/admiralty-maritime-law/
agriculture-law,Agriculture,https://lawyers.findlaw.com/agriculture-law/
antitrust-trade-regulation,Antitrust,https://lawyers.findlaw.com/antitrust-trade-regulation/
aviation,Aviation,https://lawyers.findlaw.com/aviation/
banking-finance-law,Banking and Finance Law,https://lawyers.findlaw.com/banking-finance-law/
business-commercial-law,Business and Commercial Law,https://lawyers.findlaw.com/business-commercial-law/
business-organizations,Business Organizations,https://lawyers.findlaw.com/business-organizations/
cannabis-law,Cannabis Law,https://lawyers.findlaw.com/cannabis-law/
communications-media-law,Communications and Media Law,https://lawyers.findlaw.com/communications-media-law/
contracts,Contracts,https://lawyers.findlaw.com/contracts/
employment-law-employer,Employment Law (Employer),https://lawyers.findlaw.com/employment-law-employer/
franchising,Franchising,https://lawyers.findlaw.com/franchising/
government-contracts,Government Contracts,https://lawyers.findlaw.com/government-contracts/
mergers-acquisitions,Mergers and Acquisitions,https://lawyers.findlaw.com/mergers-acquisitions/
energy-law,"Oil, Gas and Energy",https://lawyers.findlaw.com/energy-law/
securities-law,Securities,https://lawyers.findlaw.com/securities-law/
tax-increment-financing,Tax Increment Financing,https://lawyers.findlaw.com/tax-increment-financing/
taxation-law,Tax Law,https://lawyers.findlaw.com/taxation-law/
transportation-law,Transportation,https://lawyers.findlaw.com/transportation-law/
civil-rights,Civil Rights,https://lawyers.findlaw.com/civil-rights/
constitutional-law,Constitutional Law,https://lawyers.findlaw.com/constitutional-law/
discrimination,Discrimination,https://lawyers.findlaw.com/discrimination/
native-peoples-law,Native Peoples,https://lawyers.findlaw.com/native-peoples-law/
auto-dealer-fraud,Auto Dealer Fraud,https://lawyers.findlaw.com/auto-dealer-fraud/
consumer-protection,Consumer Protection,https://lawyers.findlaw.com/consumer-protection/
legal-malpractice,Legal Malpractice,https://lawyers.findlaw.com/legal-malpractice/
lemon-law,Lemon Law,https://lawyers.findlaw.com/lemon-law/
professional-malpractice-law,Professional Malpractice,https://lawyers.findlaw.com/professional-malpractice-law/
criminal-law,Criminal Defense,https://lawyers.findlaw.com/criminal-law/
dui-dwi,DUI and DWI,https://lawyers.findlaw.com/dui-dwi/
drug-crime,Drug Crime,https://lawyers.findlaw.com/drug-crime/
white-collar-crimes,Federal and White Collar Crimes,https://lawyers.findlaw.com/white-collar-crimes/
sex-crime,Sex Crime,https://lawyers.findlaw.com/sex-crime/
traffic-violations,Traffic Ticket,https://lawyers.findlaw.com/traffic-violations/
disability,Disability Insurance,https://lawyers.findlaw.com/disability/
social-security-disability,Social Security Disability,https://lawyers.findlaw.com/social-security-disability/
adoption,Adoption,https://lawyers.findlaw.com/adoption/
custody-visitation,Child Custody,https://lawyers.findlaw.com/custody-visitation/
child-support,Child Support,https://lawyers.findlaw.com/child-support/
collaborative-law,Collaborative Law,https://lawyers.findlaw.com/collaborative-law/
divorce,Divorce and Separation,https://lawyers.findlaw.com/divorce/
domestic-violence,Domestic Violence,https://lawyers.findlaw.com/domestic-violence/
family-law,Family Law,https://lawyers.findlaw.com/family-law/
fathers-rights,Father's Rights,https://lawyers.findlaw.com/fathers-rights/
military-divorce,Military Divorce,https://lawyers.findlaw.com/military-divorce/
same-sex,Same Sex,https://lawyers.findlaw.com/same-sex/
employment-law-employee,Employment Rights,https://lawyers.findlaw.com/employment-law-employee/
labor-law,Labor Law,https://lawyers.findlaw.com/labor-law/
sexual-harassment,Sexual Harassment,https://lawyers.findlaw.com/sexual-harassment/
wage-hour,Wage and Hour,https://lawyers.findlaw.com/wage-hour/
whistleblower-qui-tam,Whistleblower and Qui Tam,https://lawyers.findlaw.com/whistleblower-qui-tam/
wrongful-termination,Wrongful Termination,https://lawyers.findlaw.com/wrongful-termination/
estate-planning,Estate Planning,https://lawyers.findlaw.com/estate-planning/
probate-estate-administration,Probate,https://lawyers.findlaw.com/probate-estate-administration/
trusts,Trusts,https://lawyers.findlaw.com/trusts/
wills,Wills,https://lawyers.findlaw.com/wills/
elder-law,Elder Law,https://lawyers.findlaw.com/elder-law/
health-health-care-law,Health Care Law,https://lawyers.findlaw.com/health-health-care-law/
nursing-home-abuse,Nursing Home Abuse,https://lawyers.findlaw.com/nursing-home-abuse/
immigration-naturalization-law,Immigration,https://lawyers.findlaw.com/immigration-naturalization-law/
bad-faith-insurance,Bad Faith Insurance,https://lawyers.findlaw.com/bad-faith-insurance/
insurance-defense,Insurance Defense,https://lawyers.findlaw.com/insurance-defense/
insurance-law,Insurance Law,https://lawyers.findlaw.com/insurance-law/
intellectual-property-law,Copyrights,https://lawyers.findlaw.com/intellectual-property-law/
patents,Patents,https://lawyers.findlaw.com/patents/
trademarks,Trademarks,https://lawyers.findlaw.com/trademarks/
alternative-dispute-resolution,"ADR, Arbitration and Mediation",https://lawyers.findlaw.com/alternative-dispute-resolution/
class-actions-plaintiff,Class Actions,https://lawyers.findlaw.com/class-actions-plaintiff/
litigation-appeals,Litigation and Appeals,https://lawyers.findlaw.com/litigation-appeals/
construction-law,Construction,https://lawyers.findlaw.com/construction-law/
eminent-domain,Eminent Domain,https://lawyers.findlaw.com/eminent-domain/
foreclosure-alternatives,Foreclosure and Alternatives,https://lawyers.findlaw.com/foreclosure-alternatives/
housing-construction-defects,Housing and Construction Defects,https://lawyers.findlaw.com/housing-construction-defects/
land-use-zoning,Land Use and Zoning,https://lawyers.findlaw.com/land-use-zoning/
landlord-tenant,Landlord and Tenant,https://lawyers.findlaw.com/landlord-tenant/
real-estate-law,Real Estate,https://lawyers.findlaw.com/real-estate-law/
erisa,ERISA,https://lawyers.findlaw.com/erisa/
social-security,Social Security,https://lawyers.findlaw.com/social-security/
education-law,Education,https://lawyers.findlaw.com/education-law/
election-campaign-political-law,Election Campaign and Political Law,https://lawyers.findlaw.com/election-campaign-political-law/
